id;year;day;min;glo_avg;dir_avg;diff_avg;lw_avg;par_avg;lux_avg;tp_sfc;humid;press;rain;ws_10m;wd_10m
10;2019;91;172;-1.399;-0.071;-1.484;353.5;0;0;20.98;80.30;898.31;0;0.599;185.2
10;2019;91;173;-1.230;-0.424;-1.439;353.8;0;0;20.98;80.30;898.23;0;0.531;183.6
10;2019;91;174;-1.250;-0.401;-1.460;353.4;0;0;21.16;80.20;898.39;0;0.446;181.9
10;2019;91;175;-1.049;-0.450;-1.392;353.5;0;0;20.96;80.10;898.31;0;0.533;186.7
10;2019;91;176;-1.049;-0.450;-1.392;353.6;0;0;21.09;80.10;898.23;0;0.452;187.2
10;2019;91;177;-0.914;-0.450;-1.353;353.6;0;0;20.81;80.10;898.31;0;0.454;203.6
10;2019;91;178;-0.695;-0.457;-1.254;353.1;0;0;20.85;80.10;898.31;0;0.364;215.4
10;2019;91;179;-0.459;-0.570;-1.254;352.5;0;0;21.12;80.10;898.31;0;0.540;213.5
10;2019;91;180;0.345;-0.892;-1.202;351.6;0;0;20.70;80.30;898.39;0;0.265;206.1
10;2019;91;181;0.318;-0.626;-1.141;352.4;0;0;21.03;80.90;898.31;0;0.226;187.2
10;2019;91;182;0;-0.457;-1.228;352.8;0;0;20.88;80.80;898.31;0;0.496;196.6
10;2019;91;183;-0.018;-0.487;-1.217;353.1;0;0;20.65;80.90;898.39;0;0.592;196.8
10;2019;91;184;-0.342;-0.450;-1.241;353.3;0;0;20.70;81.00;898.31;0;0.629;197.2
10;2019;91;185;-0.730;-0.349;-1.254;353.2;0;0;20.71;81.20;898.31;0;0.738;197.1
10;2019;91;186;-1.093;-0.221;-1.254;353.2;0;0;20.34;81.40;898.31;0;0.909;199.6
10;2019;91;187;-1.253;-0.281;-1.254;353.0;0;0;20.29;81.50;898.31;0;0.870;198.8
10;2019;91;188;-1.350;-0.259;-1.254;353.3;0;0;20.47;81.60;898.31;0;0.997;194.5
10;2019;91;189;-1.405;-0.214;-1.254;353.6;0;0;20.73;81.70;898.23;0;0.935;195.6
10;2019;91;190;-1.373;-0.379;-1.254;353.2;0;0;20.70;81.60;898.23;0;0.910;195.8
10;2019;91;191;-1.063;-0.439;-1.254;352.8;0;0;20.76;81.60;898.23;0;0.801;196.0
10;2019;91;192;-0.082;-0.847;-1.152;351.1;0;0;20.45;81.40;898.23;0;0.552;196.1
10;2019;91;193;0.689;-1.039;-0.940;349.9;0;0;20.43;81.50;898.23;0;0.014;197.7
10;2019;91;194;0.616;-0.799;-0.940;351.0;0;0;20.47;81.50;898.23;0;0.027;192.2
10;2019;91;195;0.152;-0.495;-0.940;352.4;0;0;20.68;81.40;898.23;0;0.106;216.6
10;2019;91;196;-0.044;-0.450;-0.940;352.0;0;0;20.52;81.50;898.15;0;0.204;215.6
10;2019;91;197;0.003;-0.679;-0.940;351.4;0;0;20.50;81.50;898.23;0;0.347;213.8
10;2019;91;198;0.155;-0.881;-0.940;350.6;0;0;20.34;81.60;898.15;0;0.132;215.6
10;2019;91;199;0.926;-1.260;-0.872;348.8;0;0;20.29;81.60;898.23;0;0.027;352.6
10;2019;91;200;1.017;-0.949;-0.731;349.1;0;0;20.22;81.90;898.23;0;0.235;355.9
10;2019;91;201;0.570;-0.750;-0.810;350.0;0;0;20.32;81.80;898.23;0;0.053;344.7
10;2019;91;202;0.003;-0.450;-0.940;350.4;0;0;19.79;82.10;898.15;0;0.001;272.2
10;2019;91;203;-0.096;-0.649;-0.940;349.8;0;0;19.86;82.60;898.15;0;0.073;264.5
10;2019;91;204;0;-0.787;-0.940;349.2;0;0;19.60;82.90;898.15;0;0.001;262.1
10;2019;91;205;0.283;-0.874;-0.891;348.7;0;0;19.88;83.00;898.15;0;0.001;263.2
10;2019;91;206;0.412;-0.844;-0.805;349.0;0;0;19.88;83.00;898.15;0;0;0
10;2019;91;207;-0.172;-0.562;-0.940;349.4;0;0;19.86;83.00;898.15;0;0;0
10;2019;91;208;-0.351;-0.532;-0.940;349.5;0;0;19.53;83.10;898.15;0;0;0
10;2019;91;209;-0.418;-0.600;-0.940;349.4;0;0;19.73;83.20;898.15;0;0;0
10;2019;91;210;-0.275;-0.802;-0.940;349.6;0;0;19.43;83.30;898.07;0;0;0
10;2019;91;211;0.006;-0.896;-0.940;349.2;0;0;19.38;83.40;898.23;0;0;0
10;2019;91;212;-0.213;-0.742;-0.940;348.8;0;0;19.68;83.60;898.15;0;0;0
10;2019;91;213;-0.473;-0.506;-0.940;349.2;0;0;19.25;83.70;898.23;0;0;0
10;2019;91;214;-0.724;-0.465;-0.940;349.6;0;0;19.66;84.00;898.15;0;0;0
10;2019;91;215;-0.795;-0.450;-0.946;349.4;0;0;19.52;84.30;898.31;0;0;0
10;2019;91;216;-0.701;-0.450;-0.919;349.5;0;0;19.27;84.60;898.23;0;0;0
10;2019;91;217;-0.803;-0.450;-0.946;349.6;0;0;19.24;85.10;898.23;0;0;0
10;2019;91;218;-0.976;-0.450;-0.998;349.7;0;0;19.50;85.40;898.15;0;0;0
10;2019;91;219;-1.052;-0.450;-1.115;349.7;0;0;19.60;85.70;898.23;0;0;0
10;2019;91;220;-1.282;-0.439;-1.246;349.9;0;0;19.37;85.90;898.15;0;0;0
10;2019;91;221;-1.499;-0.270;-1.254;350.5;0;0;19.45;86.30;898.15;0;0;0
10;2019;91;222;-1.735;-0.180;-1.254;350.3;0;0;19.22;86.70;898.15;0;0;0
10;2019;91;223;-1.595;-0.195;-1.254;350.1;0;0;19.45;86.90;898.23;0;0;0
10;2019;91;224;-1.420;-0.214;-1.254;350.1;0;0;19.07;87.10;898.15;0;0;0
10;2019;91;225;-1.411;-0.210;-1.254;350.2;0;0;19.32;87.10;898.15;0;0;0
